Origin,Dest,Route,Total_Flights,Avg_Delay,Avg_Distance
DFW,DEN,DFWto(->)DEN,51,56.64705882352941,641.0
ORD,MSP,ORDto(->)MSP,138,56.63768115942029,334.0
IAD,GSP,IADto(->)GSP,34,56.55882352941177,383.0
ONT,TUS,ONTto(->)TUS,18,56.5,409.0
SAT,IAD,SATto(->)IAD,19,56.473684210526315,1362.0
LAX,MSY,LAXto(->)MSY,18,56.44444444444444,1671.0
BFL,LAX,BFLto(->)LAX,15,56.4,109.0
LAS,ALB,LASto(->)ALB,15,56.333333333333336,2237.0
MKE,OMA,MKEto(->)OMA,16,56.25,426.0
ORF,EWR,ORFto(->)EWR,34,56.205882352941174,284.0
SLC,GTF,SLCto(->)GTF,16,56.1875,463.0
JAX,TPA,JAXto(->)TPA,12,56.166666666666664,180.0
IPL,YUM,IPLto(->)YUM,13,56.07692307692308,58.0
MDW,SAT,MDWto(->)SAT,14,56.0,1036.0
SLC,FAT,SLCto(->)FAT,15,55.93333333333333,501.0
BZN,DEN,BZNto(->)DEN,52,55.84615384615385,525.0
GEG,DEN,GEGto(->)DEN,23,55.78260869565217,836.0
ORD,EWR,ORDto(->)EWR,143,55.76223776223776,719.0
CLE,MKE,CLEto(->)MKE,38,55.63157894736842,328.0
ORD,CVG,ORDto(->)CVG,95,55.62105263157895,264.0
GEG,LAX,GEGto(->)LAX,10,55.6,945.0
ROA,IAD,ROAto(->)IAD,15,55.6,177.0
ORD,SJU,ORDto(->)SJU,18,55.55555555555556,2072.0
SLC,TUL,SLCto(->)TUL,17,55.529411764705884,926.0
SFO,DFW,SFOto(->)DFW,19,55.526315789473685,1464.0
DEN,LAX,DENto(->)LAX,166,55.40963855421687,862.0
BUR,DEN,BURto(->)DEN,22,55.40909090909091,850.0
ORD,JAX,ORDto(->)JAX,38,55.3421052631579,865.0
MSN,DEN,MSNto(->)DEN,28,55.285714285714285,826.0
SBA,SLC,SBAto(->)SLC,11,55.27272727272727,615.0
SAN,DEN,SANto(->)DEN,49,55.224489795918366,853.0
SYR,ATL,SYRto(->)ATL,16,55.1875,793.0
ABQ,HOU,ABQto(->)HOU,16,55.1875,759.0
IAD,BOS,IADto(->)BOS,46,55.17391304347826,413.0
SFO,OGG,SFOto(->)OGG,31,55.096774193548384,2338.0
IAD,LAS,IADto(->)LAS,32,54.96875,2066.0
ORD,BOS,ORDto(->)BOS,119,54.9327731092437,867.0
TYS,IAH,TYSto(->)IAH,14,54.857142857142854,772.0
SAN,ORD,SANto(->)ORD,46,54.78260869565217,1723.0
GEG,BOI,GEGto(->)BOI,18,54.72222222222222,287.0
BTM,SLC,BTMto(->)SLC,10,54.6,357.0
SFO,SAT,SFOto(->)SAT,10,54.6,1482.0
ORD,DCA,ORDto(->)DCA,155,54.57419354838709,612.0
MSP,ATL,MSPto(->)ATL,13,54.53846153846154,906.0
RSW,CMH,RSWto(->)CMH,11,54.45454545454545,930.0
HDN,DEN,HDNto(->)DEN,43,54.41860465116279,142.0
MSP,CLE,MSPto(->)CLE,12,54.416666666666664,622.0
IAH,GRK,IAHto(->)GRK,15,54.4,166.0
DEN,MEM,DENto(->)MEM,13,54.38461538461539,872.0
SLC,LAX,SLCto(->)LAX,106,54.264150943396224,590.0
ATL,SYR,ATLto(->)SYR,17,54.23529411764706,793.0
STL,TUL,STLto(->)TUL,13,54.23076923076923,351.0
IAD,ROA,IADto(->)ROA,35,54.142857142857146,177.0
IAD,ORD,IADto(->)ORD,64,54.140625,589.0
DEN,ONT,DENto(->)ONT,43,54.13953488372093,819.0
DSM,DEN,DSMto(->)DEN,33,54.121212121212125,589.0
LAX,MOD,LAXto(->)MOD,27,54.111111111111114,292.0
ORD,MCO,ORDto(->)MCO,86,54.093023255813954,1005.0
TUL,SLC,TULto(->)SLC,17,54.05882352941177,926.0
RDU,IAH,RDUto(->)IAH,18,54.0,1043.0
ORD,GRR,ORDto(->)GRR,49,53.95918367346939,137.0
MKE,DEN,MKEto(->)DEN,15,53.93333333333333,895.0
BUF,EWR,BUFto(->)EWR,38,53.921052631578945,282.0
RDU,IAD,RDUto(->)IAD,33,53.90909090909091,224.0
CLE,RIC,CLEto(->)RIC,16,53.875,362.0
SLC,DRO,SLCto(->)DRO,11,53.81818181818182,338.0
MOB,IAH,MOBto(->)IAH,27,53.7037037037037,427.0
OKC,AUS,OKCto(->)AUS,10,53.7,358.0
IAD,BDL,IADto(->)BDL,28,53.67857142857143,326.0
SLC,SBP,SLCto(->)SBP,10,53.6,608.0
STL,DEN,STLto(->)DEN,13,53.53846153846154,770.0
MKE,CMH,MKEto(->)CMH,33,53.515151515151516,331.0
ORD,PBI,ORDto(->)PBI,27,53.44444444444444,1144.0
GRK,IAH,GRKto(->)IAH,14,53.42857142857143,166.0
DTW,ORD,DTWto(->)ORD,73,53.31506849315068,235.0
BWI,MKE,BWIto(->)MKE,20,53.3,641.0
PBI,ORD,PBIto(->)ORD,14,53.285714285714285,1144.0
LGB,SLC,LGBto(->)SLC,35,53.22857142857143,589.0
CLE,BTV,CLEto(->)BTV,10,53.2,489.0
PHX,FLG,PHXto(->)FLG,15,53.2,119.0
ORD,BTV,ORDto(->)BTV,32,53.15625,763.0
ATL,LAS,ATLto(->)LAS,16,53.125,1747.0
DEN,LNK,DENto(->)LNK,22,53.09090909090909,423.0
SLC,BZN,SLCto(->)BZN,72,53.02777777777778,347.0
LNK,DEN,LNKto(->)DEN,15,53.0,423.0
BOS,GSO,BOSto(->)GSO,11,53.0,645.0
LAX,HNL,LAXto(->)HNL,47,53.0,2556.0
JAX,EWR,JAXto(->)EWR,21,53.0,821.0
SBA,PHX,SBAto(->)PHX,26,53.0,455.0
SEA,ORD,SEAto(->)ORD,64,52.984375,1721.0
IAD,ATL,IADto(->)ATL,37,52.945945945945944,533.0
BIL,SLC,BILto(->)SLC,36,52.75,387.0
LAX,ORD,LAXto(->)ORD,135,52.666666666666664,1745.0
SLC,TWF,SLCto(->)TWF,80,52.6375,175.0
ORD,PVD,ORDto(->)PVD,32,52.625,849.0
CLT,JFK,CLTto(->)JFK,26,52.61538461538461,541.0
ORD,FLL,ORDto(->)FLL,41,52.609756097560975,1182.0
LAS,ORF,LASto(->)ORF,12,52.583333333333336,2155.0
MCI,CLE,MCIto(->)CLE,21,52.57142857142857,694.0
SDF,BWI,SDFto(->)BWI,37,52.567567567567565,495.0
SLC,RNO,SLCto(->)RNO,39,52.56410256410256,422.0
MRY,SAN,MRYto(->)SAN,12,52.5,376.0
PIT,MKE,PITto(->)MKE,28,52.464285714285715,431.0
ROC,EWR,ROCto(->)EWR,42,52.42857142857143,246.0
CLT,SFO,CLTto(->)SFO,66,52.39393939393939,2296.0
CLE,MDW,CLEto(->)MDW,51,52.3921568627451,307.0
DEN,SBA,DENto(->)SBA,30,52.36666666666667,916.0
CLT,PNS,CLTto(->)PNS,16,52.25,488.0
BHM,DEN,BHMto(->)DEN,14,52.214285714285715,1082.0
ALB,CLE,ALBto(->)CLE,19,52.1578947368421,424.0
MDW,SDF,MDWto(->)SDF,59,52.152542372881356,271.0
SNA,DEN,SNAto(->)DEN,53,52.132075471698116,846.0
ORD,DFW,ORDto(->)DFW,77,52.05194805194805,802.0
ATL,COS,ATLto(->)COS,10,52.0,1185.0
RDU,DEN,RDUto(->)DEN,10,52.0,1436.0
EWR,DEN,EWRto(->)DEN,33,51.93939393939394,1605.0
PHL,SFO,PHLto(->)SFO,64,51.921875,2521.0
IND,IAH,INDto(->)IAH,11,51.90909090909091,845.0
ORD,SJC,ORDto(->)SJC,47,51.829787234042556,1829.0
ORD,PHX,ORDto(->)PHX,114,51.771929824561404,1440.0
DEN,JAC,DENto(->)JAC,21,51.76190476190476,406.0
ATL,SGF,ATLto(->)SGF,12,51.75,563.0
DEN,SLC,DENto(->)SLC,177,51.644067796610166,391.0
FAT,LAX,FATto(->)LAX,65,51.63076923076923,209.0
PHX,YUM,PHXto(->)YUM,36,51.611111111111114,160.0
HDN,SLC,HDNto(->)SLC,27,51.592592592592595,251.0
SFO,PHX,SFOto(->)PHX,81,51.58024691358025,651.0
YUM,PHX,YUMto(->)PHX,32,51.5625,160.0
TUS,PHX,TUSto(->)PHX,38,51.526315789473685,110.0
DEN,BZN,DENto(->)BZN,43,51.48837209302326,525.0
MEM,EWR,MEMto(->)EWR,39,51.48717948717949,946.0
MEM,DEN,MEMto(->)DEN,21,51.476190476190474,872.0
DEN,SMF,DENto(->)SMF,63,51.476190476190474,910.0
PHX,LIT,PHXto(->)LIT,14,51.42857142857143,1136.0
SLC,GEG,SLCto(->)GEG,40,51.425,546.0
ASE,LAX,ASEto(->)LAX,27,51.370370370370374,737.0
ORD,PHL,ORDto(->)PHL,175,51.33714285714286,678.0
DAL,IAH,DALto(->)IAH,70,51.31428571428572,217.0
ATL,FWA,ATLto(->)FWA,13,51.30769230769231,508.0
PHX,KOA,PHXto(->)KOA,18,51.22222222222222,2860.0
DEN,ICT,DENto(->)ICT,52,51.19230769230769,419.0
IAD,PDX,IADto(->)PDX,11,51.18181818181818,2327.0
ORD,CMH,ORDto(->)CMH,41,51.09756097560975,296.0
DEN,DSM,DENto(->)DSM,31,51.096774193548384,589.0
TUS,AUS,TUSto(->)AUS,16,51.0625,797.0
BWI,ORD,BWIto(->)ORD,53,51.0188679245283,622.0
LAS,BDL,LASto(->)BDL,18,50.94444444444444,2298.0
SFO,PSP,SFOto(->)PSP,26,50.92307692307692,421.0
LAS,FAT,LASto(->)FAT,45,50.91111111111111,258.0
SLC,JAC,SLCto(->)JAC,54,50.888888888888886,205.0
SGU,LAX,SGUto(->)LAX,15,50.86666666666667,348.0
TUL,DEN,TULto(->)DEN,28,50.857142857142854,541.0
IAH,XNA,IAHto(->)XNA,18,50.833333333333336,438.0
OMA,MDW,OMAto(->)MDW,45,50.82222222222222,423.0
DEN,MIA,DENto(->)MIA,38,50.78947368421053,1709.0
SMF,ACV,SMFto(->)ACV,17,50.76470588235294,207.0
BNA,EWR,BNAto(->)EWR,57,50.73684210526316,748.0
TUS,ONT,TUSto(->)ONT,17,50.588235294117645,409.0
ORD,MCI,ORDto(->)MCI,80,50.575,403.0
SMX,LAX,SMXto(->)LAX,28,50.535714285714285,135.0
DTW,CLT,DTWto(->)CLT,21,50.476190476190474,500.0
FAT,LAS,FATto(->)LAS,44,50.45454545454545,258.0
IAD,RDU,IADto(->)RDU,47,50.4468085106383,224.0
ORD,BZN,ORDto(->)BZN,21,50.42857142857143,1186.0
ATL,JFK,ATLto(->)JFK,16,50.375,760.0
ROC,CLE,ROCto(->)CLE,15,50.333333333333336,245.0
SFO,BOS,SFOto(->)BOS,52,50.30769230769231,2704.0
CLT,ATL,CLTto(->)ATL,64,50.296875,227.0
ORD,PDX,ORDto(->)PDX,91,50.285714285714285,1739.0
JFK,SFO,JFKto(->)SFO,68,50.279411764705884,2586.0
DEN,BOI,DENto(->)BOI,41,50.26829268292683,649.0
DEN,ELP,DENto(->)ELP,20,50.2,563.0
DEN,LAS,DENto(->)LAS,189,50.05820105820106,629.0
SAN,FAT,SANto(->)FAT,28,50.035714285714285,314.0
DTW,DEN,DTWto(->)DEN,22,50.0,1123.0
MCI,MDW,MCIto(->)MDW,82,49.9390243902439,405.0
LAS,IND,LASto(->)IND,25,49.92,1591.0
DEN,RFD,DENto(->)RFD,21,49.857142857142854,829.0
ORD,ROC,ORDto(->)ROC,39,49.84615384615385,528.0
JFK,DTW,JFKto(->)DTW,23,49.78260869565217,508.0
ORD,STL,ORDto(->)STL,13,49.76923076923077,258.0
SLC,COS,SLCto(->)COS,21,49.76190476190476,410.0
SLC,PIH,SLCto(->)PIH,45,49.733333333333334,150.0
FCA,DEN,FCAto(->)DEN,10,49.7,753.0
DEN,ORD,DENto(->)ORD,153,49.66013071895425,888.0
EGE,DEN,EGEto(->)DEN,44,49.65909090909091,121.0
MCI,MSY,MCIto(->)MSY,10,49.6,690.0
DEN,PSC,DENto(->)PSC,17,49.588235294117645,853.0
MKE,PIT,MKEto(->)PIT,40,49.55,431.0
SLC,SMF,SLCto(->)SMF,22,49.54545454545455,532.0
MDW,BUF,MDWto(->)BUF,37,49.54054054054054,468.0
MCO,DEN,MCOto(->)DEN,62,49.53225806451613,1545.0
PHX,DRO,PHXto(->)DRO,12,49.5,351.0
DEN,SJC,DENto(->)SJC,67,49.46268656716418,948.0
BHM,CVG,BHMto(->)CVG,13,49.46153846153846,396.0
EWR,BUF,EWRto(->)BUF,53,49.45283018867924,282.0
DEN,BIL,DENto(->)BIL,42,49.42857142857143,455.0
ORD,LAX,ORDto(->)LAX,159,49.34591194968554,1745.0
DRO,SLC,DROto(->)SLC,15,49.333333333333336,338.0
SNA,SLC,SNAto(->)SLC,26,49.30769230769231,588.0
BOS,RDU,BOSto(->)RDU,11,49.27272727272727,612.0
FAR,DEN,FARto(->)DEN,22,49.22727272727273,627.0
DEN,IDA,DENto(->)IDA,25,49.2,458.0
MSY,SLC,MSYto(->)SLC,12,49.166666666666664,1428.0
BDL,PHL,BDLto(->)PHL,10,49.1,196.0
ELP,LBB,ELPto(->)LBB,10,49.1,295.0
SLC,STL,SLCto(->)STL,60,49.0,1156.0
TUS,LAS,TUSto(->)LAS,60,48.96666666666667,365.0
ORD,XNA,ORDto(->)XNA,27,48.925925925925924,522.0
DFW,LAX,DFWto(->)LAX,19,48.78947368421053,1235.0
ATL,GSO,ATLto(->)GSO,27,48.77777777777778,306.0
MDW,BDL,MDWto(->)BDL,35,48.628571428571426,777.0
SLC,LAS,SLCto(->)LAS,110,48.59090909090909,368.0
SBP,LAX,SBPto(->)LAX,31,48.54838709677419,155.0
SLC,DEN,SLCto(->)DEN,207,48.468599033816425,391.0
PHX,GJT,PHXto(->)GJT,24,48.458333333333336,438.0
BOS,BGR,BOSto(->)BGR,15,48.333333333333336,201.0
RNO,SLC,RNOto(->)SLC,42,48.30952380952381,422.0
GTF,DEN,GTFto(->)DEN,13,48.30769230769231,624.0
CLE,ALB,CLEto(->)ALB,22,48.27272727272727,424.0
SLC,HDN,SLCto(->)HDN,18,48.22222222222222,251.0
RIC,CLT,RICto(->)CLT,21,48.19047619047619,256.0
FLL,IAD,FLLto(->)IAD,13,48.15384615384615,901.0
JAX,ORD,JAXto(->)ORD,29,48.13793103448276,865.0
IAH,MOB,IAHto(->)MOB,29,48.10344827586207,427.0
LAX,SMX,LAXto(->)SMX,31,48.096774193548384,135.0
LAX,LAS,LAXto(->)LAS,314,48.01273885350319,236.0
LEX,CVG,LEXto(->)CVG,16,48.0,70.0
RNO,LAX,RNOto(->)LAX,83,47.963855421686745,390.0
MCI,IAH,MCIto(->)IAH,39,47.94871794871795,643.0
MHT,CLE,MHTto(->)CLE,16,47.9375,544.0
EWR,GSP,EWRto(->)GSP,28,47.92857142857143,594.0
IAH,LBB,IAHto(->)LBB,12,47.916666666666664,458.0
MSP,DEN,MSPto(->)DEN,46,47.891304347826086,680.0
DEN,PDX,DENto(->)PDX,58,47.87931034482759,992.0
TYS,LGA,TYSto(->)LGA,13,47.84615384615385,647.0
EWR,IND,EWRto(->)IND,27,47.81481481481482,644.0
IND,EWR,INDto(->)EWR,32,47.75,644.0
ONT,SLC,ONTto(->)SLC,37,47.729729729729726,558.0
KOA,SFO,KOAto(->)SFO,18,47.72222222222222,2367.0
LAX,BFL,LAXto(->)BFL,25,47.72,109.0
IAH,GRR,IAHto(->)GRR,21,47.666666666666664,1042.0
HOU,OAK,HOUto(->)OAK,15,47.666666666666664,1642.0
DEN,ATL,DENto(->)ATL,19,47.63157894736842,1199.0
MDW,CMH,MDWto(->)CMH,72,47.625,284.0
DCA,BOS,DCAto(->)BOS,60,47.61666666666667,399.0
MSP,MKE,MSPto(->)MKE,41,47.5609756097561,297.0
LAX,PDX,LAXto(->)PDX,93,47.53763440860215,834.0
EWR,CLT,EWRto(->)CLT,142,47.478873239436616,529.0
IPL,LAX,IPLto(->)LAX,14,47.42857142857143,181.0
MCI,CLT,MCIto(->)CLT,21,47.42857142857143,809.0
IAH,CHA,IAHto(->)CHA,13,47.38461538461539,686.0
JFK,STL,JFKto(->)STL,11,47.36363636363637,892.0
EWR,GSO,EWRto(->)GSO,49,47.326530612244895,446.0
JFK,CMH,JFKto(->)CMH,12,47.25,483.0
COS,LAX,COSto(->)LAX,25,47.24,833.0
JFK,ATL,JFKto(->)ATL,11,47.18181818181818,760.0
TYS,CVG,TYSto(->)CVG,13,47.15384615384615,226.0
LGA,CHS,LGAto(->)CHS,34,47.14705882352941,641.0
EWR,DCA,EWRto(->)DCA,27,47.111111111111114,199.0
MFR,PDX,MFRto(->)PDX,15,47.06666666666667,222.0
IAH,GSP,IAHto(->)GSP,21,47.04761904761905,838.0
DEN,OMA,DENto(->)OMA,59,47.016949152542374,472.0
GSO,LGA,GSOto(->)LGA,14,47.0,461.0
EUG,PDX,EUGto(->)PDX,24,46.916666666666664,106.0
SLC,IDA,SLCto(->)IDA,50,46.9,188.0
ORD,ATL,ORDto(->)ATL,93,46.86021505376344,606.0
IAH,DEN,IAHto(->)DEN,46,46.82608695652174,861.0
SLC,RAP,SLCto(->)RAP,17,46.76470588235294,508.0
GSO,IAH,GSOto(->)IAH,16,46.75,986.0
MSY,LGA,MSYto(->)LGA,12,46.75,1183.0
SGF,DEN,SGFto(->)DEN,19,46.73684210526316,637.0
JFK,LAX,JFKto(->)LAX,56,46.642857142857146,2475.0
SAT,SMF,SATto(->)SMF,11,46.63636363636363,1463.0
BOS,IAD,BOSto(->)IAD,44,46.52272727272727,413.0
DEN,COS,DENto(->)COS,93,46.505376344086024,72.0
ABQ,OKC,ABQto(->)OKC,11,46.45454545454545,510.0
SLC,ONT,SLCto(->)ONT,62,46.435483870967744,558.0
MSY,LAX,MSYto(->)LAX,19,46.421052631578945,1671.0
BUF,CLT,BUFto(->)CLT,30,46.4,546.0
EWR,ALB,EWRto(->)ALB,35,46.34285714285714,143.0
MSY,RDU,MSYto(->)RDU,16,46.3125,779.0
SNA,LAX,SNAto(->)LAX,13,46.23076923076923,36.0
CAE,EWR,CAEto(->)EWR,19,46.21052631578947,602.0
TPA,CMH,TPAto(->)CMH,20,46.15,829.0
SLC,PDX,SLCto(->)PDX,80,46.1375,630.0
PHX,PSP,PHXto(->)PSP,26,46.11538461538461,261.0
CMH,LGA,CMHto(->)LGA,13,46.07692307692308,478.0
DTW,EWR,DTWto(->)EWR,44,45.95454545454545,487.0
DEN,ASE,DENto(->)ASE,129,45.89922480620155,125.0
IND,MDW,INDto(->)MDW,17,45.8235294117647,162.0
LAS,LAX,LASto(->)LAX,296,45.807432432432435,236.0
BOS,JFK,BOSto(->)JFK,29,45.758620689655174,187.0
DEN,GTF,DENto(->)GTF,15,45.733333333333334,624.0
BOS,PHL,BOSto(->)PHL,89,45.69662921348315,280.0
PHX,LGB,PHXto(->)LGB,26,45.69230769230769,355.0
DEN,RNO,DENto(->)RNO,29,45.689655172413794,804.0
SAV,LGA,SAVto(->)LGA,16,45.6875,722.0
STL,BHM,STLto(->)BHM,12,45.666666666666664,410.0
SLC,BIL,SLCto(->)BIL,37,45.648648648648646,387.0
SLC,BOI,SLCto(->)BOI,87,45.64367816091954,291.0
ORD,SMF,ORDto(->)SMF,62,45.61290322580645,1781.0
OMA,SLC,OMAto(->)SLC,15,45.6,839.0
DEN,DFW,DENto(->)DFW,71,45.54929577464789,641.0
HRL,SAT,HRLto(->)SAT,11,45.54545454545455,233.0
DEN,MFR,DENto(->)MFR,11,45.54545454545455,964.0
BNA,CLT,BNAto(->)CLT,13,45.46153846153846,329.0
LBB,IAH,LBBto(->)IAH,11,45.45454545454545,458.0
EWR,BDL,EWRto(->)BDL,31,45.45161290322581,116.0
SMF,SLC,SMFto(->)SLC,38,45.44736842105263,532.0
SLC,RDM,SLCto(->)RDM,19,45.421052631578945,526.0
DEN,IAH,DENto(->)IAH,40,45.4,861.0
BOS,BWI,BOSto(->)BWI,35,45.34285714285714,370.0
DEN,MSP,DENto(->)MSP,59,45.271186440677965,680.0
CHS,EWR,CHSto(->)EWR,32,45.25,628.0
ASE,SLC,ASEto(->)SLC,45,45.22222222222222,291.0
MAF,IAH,MAFto(->)IAH,24,45.208333333333336,429.0
ORF,MDW,ORFto(->)MDW,12,45.083333333333336,704.0
MCI,EWR,MCIto(->)EWR,47,45.06382978723404,1092.0
GRR,IAH,GRRto(->)IAH,11,45.0,1042.0
MKE,PHL,MKEto(->)PHL,30,44.96666666666667,690.0
SYR,CVG,SYRto(->)CVG,21,44.95238095238095,527.0
MKE,BDL,MKEto(->)BDL,19,44.94736842105263,780.0
MHT,CVG,MHTto(->)CVG,27,44.925925925925924,741.0
SDF,ATL,SDFto(->)ATL,11,44.90909090909091,321.0
DEN,DCA,DENto(->)DCA,17,44.8235294117647,1476.0
JFK,BWI,JFKto(->)BWI,11,44.81818181818182,184.0
SLC,SAT,SLCto(->)SAT,17,44.76470588235294,1086.0
FAT,DEN,FATto(->)DEN,17,44.76470588235294,844.0
DAY,DEN,DAYto(->)DEN,11,44.72727272727273,1084.0
LAX,SNA,LAXto(->)SNA,12,44.666666666666664,36.0
JFK,BOS,JFKto(->)BOS,23,44.65217391304348,187.0
PHL,CVG,PHLto(->)CVG,26,44.61538461538461,507.0
MDW,CLE,MDWto(->)CLE,66,44.56060606060606,307.0
CLE,ATL,CLEto(->)ATL,18,44.55555555555556,554.0
SFO,CLT,SFOto(->)CLT,31,44.54838709677419,2296.0
SAT,HRL,SATto(->)HRL,13,44.53846153846154,233.0
CMH,CVG,CMHto(->)CVG,13,44.53846153846154,116.0
LAX,DEN,LAXto(->)DEN,187,44.50267379679144,862.0
CVG,IAH,CVGto(->)IAH,34,44.5,871.0
DEN,EUG,DENto(->)EUG,16,44.5,997.0
DAY,CVG,DAYto(->)CVG,19,44.473684210526315,64.0
SEA,LAS,SEAto(->)LAS,51,44.431372549019606,866.0
DCA,EWR,DCAto(->)EWR,33,44.39393939393939,199.0
SDF,CVG,SDFto(->)CVG,13,44.38461538461539,83.0
CLT,EWR,CLTto(->)EWR,191,44.32984293193717,529.0
CLT,SDF,CLTto(->)SDF,11,44.27272727272727,336.0
EWR,RIC,EWRto(->)RIC,55,44.25454545454546,278.0
SLC,CPR,SLCto(->)CPR,17,44.1764705882353,320.0
DEN,SAN,DENto(->)SAN,71,44.140845070422536,853.0
RDM,PDX,RDMto(->)PDX,45,44.13333333333333,116.0
IAH,TUS,IAHto(->)TUS,28,44.107142857142854,936.0
BNA,IAD,BNAto(->)IAD,19,44.10526315789474,542.0
BOS,SFO,BOSto(->)SFO,50,44.1,2704.0
PIT,DEN,PITto(->)DEN,21,44.095238095238095,1290.0
MSO,SLC,MSOto(->)SLC,40,44.025,436.0
EWR,MCI,EWRto(->)MCI,45,44.022222222222226,1092.0
LAX,SBP,LAXto(->)SBP,37,44.0,155.0
BHM,LGA,BHMto(->)LGA,23,43.95652173913044,866.0
RDU,CVG,RDUto(->)CVG,23,43.95652173913044,390.0
CHS,CVG,CHSto(->)CVG,13,43.92307692307692,497.0
DEN,BOS,DENto(->)BOS,69,43.85507246376812,1754.0
EWR,BTV,EWRto(->)BTV,47,43.829787234042556,266.0
IDA,DEN,IDAto(->)DEN,27,43.81481481481482,458.0
SLC,SJC,SLCto(->)SJC,21,43.80952380952381,585.0
DEN,STL,DENto(->)STL,10,43.8,770.0
OMA,DEN,OMAto(->)DEN,33,43.78787878787879,472.0
EWR,BWI,EWRto(->)BWI,37,43.62162162162162,169.0
YUM,IPL,YUMto(->)IPL,13,43.61538461538461,58.0
EWR,JAN,EWRto(->)JAN,15,43.6,1055.0
DEN,BIS,DENto(->)BIS,20,43.55,517.0
ORD,SEA,ORDto(->)SEA,110,43.5,1721.0
LFT,IAH,LFTto(->)IAH,46,43.47826086956522,201.0
MDW,TUS,MDWto(->)TUS,26,43.46153846153846,1440.0
LAX,MRY,LAXto(->)MRY,54,43.44444444444444,267.0
IAD,IAH,IADto(->)IAH,43,43.44186046511628,1190.0
CLT,STL,CLTto(->)STL,17,43.411764705882355,575.0
EWR,BHM,EWRto(->)BHM,18,43.388888888888886,850.0
IAD,SFO,IADto(->)SFO,108,43.370370370370374,2419.0
JAX,IAH,JAXto(->)IAH,24,43.333333333333336,817.0
LAS,DTW,LASto(->)DTW,14,43.285714285714285,1750.0
SAN,LAX,SANto(->)LAX,175,43.28,109.0
DEN,ABQ,DENto(->)ABQ,74,43.270270270270274,349.0
ASE,DEN,ASEto(->)DEN,175,43.22857142857143,125.0
EWR,JAX,EWRto(->)JAX,22,43.18181818181818,821.0
JAX,LGA,JAXto(->)LGA,29,43.172413793103445,834.0
SLC,MSO,SLCto(->)MSO,48,43.166666666666664,436.0
ORD,ASE,ORDto(->)ASE,41,43.146341463414636,1013.0
SJC,SLC,SJCto(->)SLC,24,43.125,585.0
MDW,LAS,MDWto(->)LAS,122,43.01639344262295,1521.0
ORD,DEN,ORDto(->)DEN,172,43.0,888.0
SLC,MCI,SLCto(->)MCI,37,42.972972972972975,919.0
SAN,IAD,SANto(->)IAD,33,42.96969696969697,2253.0
TUS,ABQ,TUSto(->)ABQ,13,42.84615384615385,321.0
AUS,CLE,AUSto(->)CLE,16,42.8125,1174.0
LAX,TUS,LAXto(->)TUS,148,42.810810810810814,451.0
SLE,SLC,SLEto(->)SLC,18,42.72222222222222,628.0
EWR,LEX,EWRto(->)LEX,14,42.714285714285715,588.0
SEA,LAX,SEAto(->)LAX,98,42.69387755102041,954.0
LAX,PSP,LAXto(->)PSP,80,42.675,110.0
SFO,BWI,SFOto(->)BWI,19,42.63157894736842,2457.0
LAX,IPL,LAXto(->)IPL,20,42.6,181.0
CLE,ROC,CLEto(->)ROC,14,42.57142857142857,245.0
CVG,MKE,CVGto(->)MKE,19,42.526315789473685,318.0
ATL,AUS,ATLto(->)AUS,14,42.5,813.0
STL,MDW,STLto(->)MDW,82,42.48780487804878,251.0
CLE,ABE,CLEto(->)ABE,21,42.42857142857143,339.0
DEN,TUL,DENto(->)TUL,42,42.42857142857143,541.0
LAX,SJC,LAXto(->)SJC,245,42.375510204081635,308.0
STL,CLT,STLto(->)CLT,16,42.375,575.0
MSY,MCI,MSYto(->)MCI,11,42.36363636363637,690.0
IAH,HRL,IAHto(->)HRL,20,42.35,295.0
DCA,JFK,DCAto(->)JFK,29,42.3448275862069,213.0
OMA,STL,OMAto(->)STL,18,42.27777777777778,342.0
BOS,DCA,BOSto(->)DCA,76,42.25,399.0
SFO,KOA,SFOto(->)KOA,33,42.24242424242424,2367.0
LAS,SNA,LASto(->)SNA,98,42.234693877551024,226.0
EWR,RDU,EWRto(->)RDU,41,42.21951219512195,416.0
IAD,LAX,IADto(->)LAX,89,42.20224719101124,2288.0
COS,PHX,COSto(->)PHX,20,42.2,551.0
BDL,EWR,BDLto(->)EWR,36,42.138888888888886,116.0
BHM,EWR,BHMto(->)EWR,17,42.05882352941177,850.0
MEM,IAH,MEMto(->)IAH,40,42.05,469.0
MKE,IAH,MKEto(->)IAH,33,42.03030303030303,984.0
DAY,EWR,DAYto(->)EWR,29,41.96551724137931,533.0
SLC,MDW,SLCto(->)MDW,29,41.93103448275862,1258.0
CVG,DSM,CVGto(->)DSM,12,41.916666666666664,505.0
SLC,YUM,SLCto(->)YUM,19,41.89473684210526,580.0
IND,JAX,INDto(->)JAX,11,41.81818181818182,688.0
ATL,LEX,ATLto(->)LEX,14,41.785714285714285,303.0
CLE,SLC,CLEto(->)SLC,13,41.76923076923077,1565.0
ORD,AZO,ORDto(->)AZO,22,41.72727272727273,122.0
EWR,PWM,EWRto(->)PWM,42,41.666666666666664,284.0
GEG,SEA,GEGto(->)SEA,64,41.640625,224.0
MKE,MSN,MKEto(->)MSN,35,41.628571428571426,74.0
